PROVINCIA,COMARCA,LOCALIDAD,CÓD. CENTRO,NOMBRE CENTRO,NIVEL,CURSO,% VOTOS VALENCIANO,% VOTOS CASTELLANO
PROVÍNCIA,COMARCA,LOCALITAT,CODI CENTRE,NOM DEL CENTRE,NIVELL,CURS,% VOTS VALENCIÀ,% VOTS CASTELLÀ
Castelló,La Plana Baixa,BETXÍ,12000391,CEIP CERVANTES-DUALDE,INF,4INF,"96,43","3,57"
Castelló,La Plana Baixa,BETXÍ,12000391,CEIP CERVANTES-DUALDE,INF,5INF,"94,74","5,26"
Castelló,L'Alt Maestrat,BENASSAL,12000431,CEIP ALCALDE FABREGAT,INF,2INF,100,0
Castelló,L'Alt Maestrat,BENASSAL,12000431,CEIP ALCALDE FABREGAT,INF,3INF,100,0
Castelló,L'Alt Maestrat,BENASSAL,12000431,CEIP ALCALDE FABREGAT,INF,4INF,60,40
Castelló,L'Alt Maestrat,BENASSAL,12000431,CEIP ALCALDE FABREGAT,INF,5INF,100,0
Castelló,El Baix Maestrat,BENICARLÓ,12000455,CEIP MARQUÉS DE BENICARLÓ,INF,3INF,80,20
Castelló,El Baix Maestrat,BENICARLÓ,12000455,CEIP MARQUÉS DE BENICARLÓ,INF,4INF,"87,88","12,12"
Castelló,El Baix Maestrat,BENICARLÓ,12000455,CEIP MARQUÉS DE BENICARLÓ,INF,5INF,"79,07","20,93"
Castelló,El Baix Maestrat,BENICARLÓ,12000509,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,INF,3INF,"86,96","13,04"
Castelló,El Baix Maestrat,BENICARLÓ,12000509,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,INF,4INF,"76,92","23,08"
Castelló,El Baix Maestrat,BENICARLÓ,12000509,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,INF,5INF,"91,67","8,33"
Castelló,La Plana Alta,BENICÀSSIM,12000510,CEIP SANTA ÀGUEDA,INF,3INF,"92,86","7,14"
Castelló,La Plana Alta,BENICÀSSIM,12000510,CEIP SANTA ÀGUEDA,INF,4INF,"77,78","22,22"
Castelló,La Plana Alta,BENICÀSSIM,12000510,CEIP SANTA ÀGUEDA,INF,5INF,75,25
Castelló,La Plana Alta,BENICÀSSIM,12000522,CENTRE PRIVAT LICEO,INF,3INF,60,40
Castelló,La Plana Alta,BENICÀSSIM,12000522,CENTRE PRIVAT LICEO,INF,4INF,"23,08","76,92"
Castelló,La Plana Alta,BENICÀSSIM,12000522,CENTRE PRIVAT LICEO,INF,5INF,"28,57","71,43"
Castelló,La Plana Alta,BORRIOL,12000571,CEIP L'HEREU,INF,2INF,"82,35","17,65"
Castelló,La Plana Alta,BORRIOL,12000571,CEIP L'HEREU,INF,3INF,100,0
Castelló,La Plana Alta,BORRIOL,12000571,CEIP L'HEREU,INF,4INF,"93,94","6,06"
Castelló,La Plana Alta,BORRIOL,12000571,CEIP L'HEREU,INF,5INF,96,4
Castelló,La Plana Baixa,BORRIANA,12000613,CEIP PENYAGOLOSA,INF,2INF,100,0
Castelló,La Plana Baixa,BORRIANA,12000613,CEIP PENYAGOLOSA,INF,3INF,100,0
Castelló,La Plana Baixa,BORRIANA,12000613,CEIP PENYAGOLOSA,INF,4INF,"86,67","13,33"
Castelló,La Plana Baixa,BORRIANA,12000613,CEIP PENYAGOLOSA,INF,5INF,100,0
Castelló,La Plana Baixa,BORRIANA,12000625,CEIP FRANCESC ROCA I ALCAIDE,INF,2INF,"90,91","9,09"
Castelló,La Plana Baixa,BORRIANA,12000625,CEIP FRANCESC ROCA I ALCAIDE,INF,3INF,50,50
Castelló,La Plana Baixa,BORRIANA,12000625,CEIP FRANCESC ROCA I ALCAIDE,INF,4INF,100,0
Castelló,La Plana Baixa,BORRIANA,12000625,CEIP FRANCESC ROCA I ALCAIDE,INF,5INF,100,0
Castelló,La Plana Baixa,BORRIANA,12000649,CEIP PARE VILALLONGA,INF,3INF,75,25
Castelló,La Plana Baixa,BORRIANA,12000649,CEIP PARE VILALLONGA,INF,4INF,"94,44","5,56"
Castelló,La Plana Baixa,BORRIANA,12000649,CEIP PARE VILALLONGA,INF,5INF,"88,89","11,11"
Castelló,La Plana Baixa,BORRIANA,12000650,CEIP JOSEP ITURBI,INF,2INF,50,50
Castelló,La Plana Baixa,BORRIANA,12000650,CEIP JOSEP ITURBI,INF,3INF,"66,67","33,33"
Castelló,La Plana Baixa,BORRIANA,12000650,CEIP JOSEP ITURBI,INF,4INF,"63,16","36,84"
Castelló,La Plana Baixa,BORRIANA,12000650,CEIP JOSEP ITURBI,INF,5INF,"82,35","17,65"
Castelló,La Plana Baixa,BORRIANA,12000662,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,INF,3INF,"35,29","64,71"
Castelló,La Plana Baixa,BORRIANA,12000662,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,INF,4INF,"47,62","52,38"
Castelló,La Plana Baixa,BORRIANA,12000662,CENTRE PRIVAT NUESTRA SEÑORA DE LA CONSOLACIÓN,INF,5INF,"23,33","76,67"
Castelló,La Plana Baixa,BORRIANA,12000686,CENTRE PRIVAT VILLA FÁTIMA,INF,3INF,"87,5","12,5"
Castelló,La Plana Baixa,BORRIANA,12000686,CENTRE PRIVAT VILLA FÁTIMA,INF,4INF,0,100
Castelló,La Plana Baixa,BORRIANA,12000686,CENTRE PRIVAT VILLA FÁTIMA,INF,5INF,"33,33","66,67"
Castelló,La Plana Baixa,BORRIANA,12000698,CENTRE PRIVAT SALESIANOS SAN JUAN BAUTISTA,INF,3INF,"21,43","78,57"
Castelló,La Plana Baixa,BORRIANA,12000698,CENTRE PRIVAT SALESIANOS SAN JUAN BAUTISTA,INF,4INF,"23,68","76,32"
Castelló,La Plana Baixa,BORRIANA,12000698,CENTRE PRIVAT SALESIANOS SAN JUAN BAUTISTA,INF,5INF,"12,12","87,88"
Castelló,La Plana Baixa,BORRIANA,12000716,CENTRE PRIVAT ILLES COLUMBRETES,INF,3INF,"93,75","6,25"
Castelló,La Plana Baixa,BORRIANA,12000716,CENTRE PRIVAT ILLES COLUMBRETES,INF,4INF,"90,91","9,09"
Castelló,La Plana Baixa,BORRIANA,12000716,CENTRE PRIVAT ILLES COLUMBRETES,INF,5INF,"78,57","21,43"
Castelló,La Plana Alta,CABANES,12000728,CEIP NUESTRA SEÑORA DEL BUEN SUCESO,INF,2INF,"83,33","16,67"
Castelló,La Plana Alta,CABANES,12000728,CEIP NUESTRA SEÑORA DEL BUEN SUCESO,INF,3INF,"84,62","15,38"
Castelló,La Plana Alta,CABANES,12000728,CEIP NUESTRA SEÑORA DEL BUEN SUCESO,INF,4INF,"85,71","14,29"
Castelló,La Plana Alta,CABANES,12000728,CEIP NUESTRA SEÑORA DEL BUEN SUCESO,INF,5INF,"88,89","11,11"
Castelló,El Baix Maestrat,CÀLIG,12000731,CEIP FELICINDA COLLELL,INF,2INF,100,0
Castelló,El Baix Maestrat,CÀLIG,12000731,CEIP FELICINDA COLLELL,INF,3INF,90,10
Castelló,El Baix Maestrat,CÀLIG,12000731,CEIP FELICINDA COLLELL,INF,4INF,100,0
Castelló,El Baix Maestrat,CÀLIG,12000731,CEIP FELICINDA COLLELL,INF,5INF,100,0
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000765,CEIP BENADRESSA,INF,2INF,100,0
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000765,CEIP BENADRESSA,INF,3INF,"93,75","6,25"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000765,CEIP BENADRESSA,INF,4INF,"45,45","54,55"
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000765,CEIP BENADRESSA,INF,5INF,80,20
Castelló,La Plana Alta,CASTELLÓ DE LA PLANA,12000777,CEIP SAN AGUSTÍN,INF,2INF,100,0
