PROVINCIA,COMARCA,LOCALIDAD,CÓD. CENTRO,NOMBRE CENTRO,NIVEL,CURSO,% VOTOS VALENCIANO,% VOTOS CASTELLANO
PROVÍNCIA,COMARCA,LOCALITAT,CODI CENTRE,NOM DEL CENTRE,NIVELL,CURS,% VOTS VALENCIÀ,% VOTS CASTELLÀ
Castelló,La Plana Baixa,ALFONDEGUILLA,12000194,CEIP CASTRO,PRI,6PRI,100,0
Castelló,La Plana Alta,ALMASSORA,12000212,CEIP RIU MILLARS,PRI,1PRI,"38,46","61,54"
Castelló,La Plana Alta,ALMASSORA,12000212,CEIP RIU MILLARS,PRI,2PRI,"66,67","33,33"
Castelló,La Plana Alta,ALMASSORA,12000212,CEIP RIU MILLARS,PRI,3PRI,50,50
Castelló,La Plana Alta,ALMASSORA,12000212,CEIP RIU MILLARS,PRI,4PRI,76,24
Castelló,La Plana Alta,ALMASSORA,12000212,CEIP RIU MILLARS,PRI,5PRI,75,25
Castelló,La Plana Alta,ALMASSORA,12000212,CEIP RIU MILLARS,PRI,6PRI,"47,06","52,94"
Castelló,La Plana Alta,ALMASSORA,12000224,CEIP BOQUERES,PRI,1PRI,"76,19","23,81"
Castelló,La Plana Alta,ALMASSORA,12000224,CEIP BOQUERES,PRI,2PRI,"63,64","36,36"
Castelló,La Plana Alta,ALMASSORA,12000224,CEIP BOQUERES,PRI,3PRI,85,15
Castelló,La Plana Alta,ALMASSORA,12000224,CEIP BOQUERES,PRI,4PRI,"92,86","7,14"
Castelló,La Plana Alta,ALMASSORA,12000224,CEIP BOQUERES,PRI,5PRI,"84,62","15,38"
Castelló,La Plana Alta,ALMASSORA,12000224,CEIP BOQUERES,PRI,6PRI,"57,14","42,86"
Castelló,La Plana Alta,ALMASSORA,12000236,CEIP CARDENAL CISNEROS,PRI,1PRI,"87,8","12,2"
Castelló,La Plana Alta,ALMASSORA,12000236,CEIP CARDENAL CISNEROS,PRI,2PRI,"87,5","12,5"
Castelló,La Plana Alta,ALMASSORA,12000236,CEIP CARDENAL CISNEROS,PRI,3PRI,"87,1","12,9"
Castelló,La Plana Alta,ALMASSORA,12000236,CEIP CARDENAL CISNEROS,PRI,4PRI,"83,02","16,98"
Castelló,La Plana Alta,ALMASSORA,12000236,CEIP CARDENAL CISNEROS,PRI,5PRI,"77,27","22,73"
Castelló,La Plana Alta,ALMASSORA,12000236,CEIP CARDENAL CISNEROS,PRI,6PRI,"87,18","12,82"
Castelló,La Plana Baixa,ALMENARA,12000285,CEIP JUAN CARLOS I,PRI,1PRI,"78,57","21,43"
Castelló,La Plana Baixa,ALMENARA,12000285,CEIP JUAN CARLOS I,PRI,2PRI,"89,66","10,34"
Castelló,La Plana Baixa,ALMENARA,12000285,CEIP JUAN CARLOS I,PRI,3PRI,"93,62","6,38"
Castelló,La Plana Baixa,ALMENARA,12000285,CEIP JUAN CARLOS I,PRI,4PRI,"92,11","7,89"
Castelló,La Plana Baixa,ALMENARA,12000285,CEIP JUAN CARLOS I,PRI,5PRI,"73,33","26,67"
Castelló,La Plana Baixa,ALMENARA,12000285,CEIP JUAN CARLOS I,PRI,6PRI,"81,08","18,92"
Castelló,El Alto Palancia,ALTURA,12000303,CEIP VIRGEN DE GRACIA,PRI,1PRI,"11,11","88,89"
Castelló,El Alto Palancia,ALTURA,12000303,CEIP VIRGEN DE GRACIA,PRI,2PRI,0,100
Castelló,El Alto Palancia,ALTURA,12000303,CEIP VIRGEN DE GRACIA,PRI,3PRI,"22,22","77,78"
Castelló,El Alto Palancia,ALTURA,12000303,CEIP VIRGEN DE GRACIA,PRI,4PRI,0,100
Castelló,El Alto Palancia,ALTURA,12000303,CEIP VIRGEN DE GRACIA,PRI,5PRI,"7,14","92,86"
Castelló,El Alto Palancia,ALTURA,12000303,CEIP VIRGEN DE GRACIA,PRI,6PRI,"41,18","58,82"
Castelló,La Plana Baixa,ARTANA,12000352,CEIP CARME MARTIN,PRI,1PRI,100,0
Castelló,La Plana Baixa,ARTANA,12000352,CEIP CARME MARTIN,PRI,2PRI,"87,5","12,5"
Castelló,La Plana Baixa,ARTANA,12000352,CEIP CARME MARTIN,PRI,3PRI,70,30
Castelló,La Plana Baixa,ARTANA,12000352,CEIP CARME MARTIN,PRI,4PRI,"85,71","14,29"
Castelló,La Plana Baixa,ARTANA,12000352,CEIP CARME MARTIN,PRI,5PRI,90,10
Castelló,La Plana Baixa,ARTANA,12000352,CEIP CARME MARTIN,PRI,6PRI,100,0
Castelló,La Plana Baixa,BETXÍ,12000391,CEIP CERVANTES-DUALDE,PRI,1PRI,"96,55","3,45"
Castelló,La Plana Baixa,BETXÍ,12000391,CEIP CERVANTES-DUALDE,PRI,2PRI,"85,71","14,29"
Castelló,La Plana Baixa,BETXÍ,12000391,CEIP CERVANTES-DUALDE,PRI,3PRI,"96,3","3,7"
Castelló,La Plana Baixa,BETXÍ,12000391,CEIP CERVANTES-DUALDE,PRI,4PRI,"93,1","6,9"
Castelló,La Plana Baixa,BETXÍ,12000391,CEIP CERVANTES-DUALDE,PRI,5PRI,"93,62","6,38"
Castelló,La Plana Baixa,BETXÍ,12000391,CEIP CERVANTES-DUALDE,PRI,6PRI,"95,24","4,76"
Castelló,L'Alt Maestrat,BENASSAL,12000431,CEIP ALCALDE FABREGAT,PRI,1PRI,100,0
Castelló,L'Alt Maestrat,BENASSAL,12000431,CEIP ALCALDE FABREGAT,PRI,2PRI,"83,33","16,67"
